所有资源均来自网络,#genre#
请勿商用《BAD》,http://vdown.kuwo.cn:80/resource/t4/66/78/HdGvGZQqGw4.mp4

口水三尺,#genre#
鲍汁豆腐,https://vd4.bdstatic.com/mda-nec91x1nvgejnd5u/480p/h264/1652425268946984260/mda-nec91x1nvgejnd5u.mp4?vfroms=hkapp-haokan-hbe&authkey=1655033746-0-0-1964bc131eb8a4757e126fa7072034c8&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=0346634098&vid=13175973280064025498&abtest=all
地锅鸡,https://vd4.bdstatic.com/mda-nee3w9hvysz2htkk/480p/h264/1652583640234131248/mda-nee3w9hvysz2htkk.mp4?vfroms=hkapp-haokan-hbe&authkey=1655033701-0-0-448270cbc0e8dd01b1d3e3e79c645ede&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=0300946132&vid=11820591972211290892&abtest=all
地锅鸡,https://vd4.bdstatic.com/mda-nee3w9hvysz2htkk/480p/h264/1652583640234131248/mda-nee3w9hvysz2htkk.mp4?vfroms=hkapp-haokan-nanjing&authkey=1655204769-0-0-307f31c8d52fc424d102f72fc60b80f3&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=2169229312&vid=11820591972211290892&abtest=all
河蟹一锅烩,https://vd2.bdstatic.com/mda-nekcx3v9ett2ris5/480p/h264/1653125375347700570/mda-nekcx3v9ett2ris5.mp4?vfroms=hkapp-haokan-hbe&authkey=1655033479-0-0-b49abd06012eb0b266a58d9dca5c7f5f&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=0079449514&vid=6322076425195603579&abtest=all
河蟹一锅烩,https://vd2.bdstatic.com/mda-nekcx3v9ett2ris5/480p/h264/1653125375347700570/mda-nekcx3v9ett2ris5.mp4?vfroms=hkapp-haokan-nanjing&authkey=1655204646-0-0-4f75622c2dcb0ff704cffc958aa2e91a&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=2046265149&vid=6322076425195603579&abtest=all
红曲酱鸭,https://vd3.bdstatic.com/mda-neh81rk1eiuv3w27/480p/h264/1652854920609442406/mda-neh81rk1eiuv3w27.mp4?authkey=1655033521-0-0-f906c86fac0f9d712e6b40db422982b9&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=0121635443&vid=6641467693514512194&abtest=all
红曲酱鸭,https://vd3.bdstatic.com/mda-neh81rk1eiuv3w27/480p/h264/1652854920609442406/mda-neh81rk1eiuv3w27.mp4?authkey=1655204675-0-0-4da5a87245bb475374748f8b4e1a45df&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=2075350062&vid=6641467693514512194&abtest=all
红烧海茄子,https://vd2.bdstatic.com/mda-ne9adpzib1w2s7i6/480p/h264/1652168146543774177/mda-ne9adpzib1w2s7i6.mp4?vfroms=hkapp-haokan-hna&authkey=1655034801-0-0-619992652cfa0b8d01757056583c773a&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=1401746639&vid=10650375313183094889&abtest=all
麻辣田螺,https://vd2.bdstatic.com/mda-nebbx1csfuye4nu0/480p/h264/1652344240987321761/mda-nebbx1csfuye4nu0.mp4?vfroms=hkapp-haokan-hnb&authkey=1655034713-0-0-01a4b4618e1e3b9e24080b6f8b58bbb4&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=1313440992&vid=3348990192010659836&abtest=all
麻辣田螺,https://vd2.bdstatic.com/mda-nebbx1csfuye4nu0/480p/h264/1652344240987321761/mda-nebbx1csfuye4nu0.mp4?vfroms=hkapp-haokan-nanjing&authkey=1655204811-0-0-174455300eacf7613f0acb6e916341bf&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=2211130595&vid=3348990192010659836&abtest=all
260买十来只小甲鱼,https://vd4.bdstatic.com/mda-nf29yjvnrcqwwy2q/480p/h264/1654240313985806512/mda-nf29yjvnrcqwwy2q.mp4?authkey=1655032564-0-0-747aa1c4fdd90716418995aa885348a7&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=2764614902&vid=9984932099035144842&abtest=all
霸王牛尾,https://vd3.bdstatic.com/mda-nf39wk2de3ryede7/480p/h264/1654326718567558149/mda-nf39wk2de3ryede7.mp4?vfroms=hkapp-haokan-hna&authkey=1655032908-0-0-21cb435cc1f8eb263984e073bb6106c5&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=3108822864&vid=6595468946187502994&abtest=all
肥肠鹅,https://vd4.bdstatic.com/mda-nepbnx1gkwwfe6h4/480p/h264/1653380567130163019/mda-nepbnx1gkwwfe6h4.mp4?vfroms=hkapp-haokan-hbe&authkey=1655033379-0-0-2321e8dcc8049dd5833ded28592aa557&bcevodchannel=searchboxfeed&pd=1&cd=0&pt=3&logid=3579472476&vid=5831581271697130378&abtest=all
