央视频道,#genre#
CCTV1,http://ylt.7766.org:333/hls/1/index.m3u8
CCTV2,http://ylt.7766.org:333/hls/2/index.m3u8
CCTV3,http://ylt.7766.org:333/hls/3/index.m3u8
CCTV4,http://ylt.7766.org:333/hls/4/index.m3u8
CCTV5,http://ylt.7766.org:333/hls/5/index.m3u8
CCTV6,http://ylt.7766.org:333/hls/6/index.m3u8
CCTV7,http://ylt.7766.org:333/hls/7/index.m3u8
CCTV8,http://ylt.7766.org:333/hls/8/index.m3u8
CCTV9,http://ylt.7766.org:333/hls/9/index.m3u8
CCTV10,http://ylt.7766.org:333/hls/10/index.m3u8
CCTV11,http://ylt.7766.org:333/hls/11/index.m3u8
CCTV12,http://ylt.7766.org:333/hls/12/index.m3u8
CCTV13,http://ylt.7766.org:333/hls/13/index.m3u8
CCTV14,http://ylt.7766.org:333/hls/14/index.m3u8
CCTV15,http://ylt.7766.org:333/hls/15/index.m3u8
CCTV17,http://ylt.7766.org:333/hls/17/index.m3u8
CCTV5+,http://ylt.7766.org:333/hls/21/index.m3u8
CCTV1,http://120.197.2.134:9003/hls/1/index.m3u8
CCTV2,http://120.197.2.134:9003/hls/2/index.m3u8
CCTV3,http://120.197.2.134:9003/hls/3/index.m3u8
CCTV5＋,http://120.197.2.134:9003/hls/6/index.m3u8
CCTV16,http://120.197.2.134:9003/hls/48/index.m3u8
CCTV1,http://171.117.241.148:9003/hls/1/index.m3u8
CCTV2,http://171.117.241.148:9003/hls/2/index.m3u8
CCTV3,http://171.117.241.148:9003/hls/3/index.m3u8
CCTV4,http://171.117.241.148:9003/hls/4/index.m3u8
CCTV5,http://171.117.241.148:9003/hls/5/index.m3u8
CCTV5+,http://171.117.241.148:9003/hls/6/index.m3u8
CCTV6,http://171.117.241.148:9003/hls/7/index.m3u8
CCTV7,http://171.117.241.148:9003/hls/8/index.m3u8
CCTV8,http://171.117.241.148:9003/hls/9/index.m3u8
CCTV9,http://171.117.241.148:9003/hls/10/index.m3u8
CCTV10,http://171.117.241.148:9003/hls/11/index.m3u8
CCTV12,http://171.117.241.148:9003/hls/13/index.m3u8
CCTV13,http://171.117.241.148:9003/hls/14/index.m3u8
CCTV14,http://171.117.241.148:9003/hls/15/index.m3u8
CCTV16,http://171.117.241.148:9003/hls/17/index.m3u8
CCTV17,http://171.117.241.148:9003/hls/18/index.m3u8
CCTV1,http://221.205.237.146:9003/hls/1/index.m3u8
CCTV2,http://221.205.237.146:9003/hls/2/index.m3u8
CCTV3,http://221.205.237.146:9003/hls/3/index.m3u8
CCTV4,http://221.205.237.146:9003/hls/4/index.m3u8
